gene	GSM1483739	GSM1483740	128-cell-1	128-cell-2	1k-cell-1	1k-cell-2	1-cell-1	1-cell-2
ENSDARG00000089893	38.856824	36.453048	84.263041	82.875166	61.55006	71.516305	4.845249	5.931243
ENSDARG00000089894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089903	0.0	0.0	0.819941	0.637888	0.939536	1.372547	0.226991	0.0
ENSDARG00000089904	0.0	0.0	2.600998	2.080656	2.118913	2.796819	3.541003	4.612353
ENSDARG00000089908	0.0	0.0	11.299087	14.566755	7.535366	9.916797	1.601998	2.763137
ENSDARG00000089913	0.0	0.0	0.893018	0.625329	0.045435	0.177744	0.043759	0.054094
ENSDARG00000089914	0.0	0.0	8.368741	8.328604	9.699308	9.284178	6.116926	7.062831
ENSDARG00000089917	0.0	0.0	0.068957	0.0	0.0	0.0	0.1179	0.0
ENSDARG00000089919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089920	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089921	0.0	36.265696	7.834898	11.459021	25.610482	19.438871	2.130618	3.187562
ENSDARG00000089922	0.0	0.0	73.958423	71.469731	70.473732	75.320793	7.909472	6.47478
ENSDARG00000089924	0.0	0.0	4.807099	5.81234	6.609835	7.854928	2.583792	1.456189
ENSDARG00000089930	1.95984	0.0	17.902008	20.52256	17.099531	15.710922	7.349566	6.008509
ENSDARG00000089933	0.0	0.0	0.24169	0.0	0.0	0.0	0.424437	0.0
ENSDARG00000089934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089936	0.0	0.0	8.377932	6.922331	6.055495	4.251205	5.112977	0.714829
ENSDARG00000089940	0.0	0.0	1.138945	0.418727	0.631517	0.849386	0.0	0.257215
ENSDARG00000089943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089947	0.0	0.0	7.960165	6.591276	10.34641	10.249625	3.043009	2.595568
ENSDARG00000089951	5.004402	0.0	14.010087	12.178926	13.781888	13.912165	1.189676	0.957593
ENSDARG00000089952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089953	0.0	0.0	1.545771	1.925286	1.257263	0.824386	0.125648	0.290287
ENSDARG00000089954	5.369954	0.0	80.769654	83.134446	56.43397	61.603217	20.103372	18.625044
ENSDARG00000089958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089959	0.0	0.0	0.0	0.0	0.0	0.248215	0.0	0.0
ENSDARG00000089961	0.0	0.0	5.061786	4.972733	3.751508	3.706275	0.241017	0.0
ENSDARG00000089966	316.315898	0.0	26.35979	24.857354	23.547315	27.216464	32.615201	34.814414
ENSDARG00000089967	27.822475	51.488281	95.422201	112.675516	108.514862	129.613784	28.532868	33.878195
ENSDARG00000089974	0.0	0.0	1.997769	1.856004	1.255401	1.56027	0.621455	0.95981
ENSDARG00000089976	139.233362	806.658825	64.738213	74.157255	66.014399	66.313838	140.612647	145.473057
ENSDARG00000089981	7.038967	6.927992	55.759176	62.648273	66.626436	70.238169	6.135071	7.720362
ENSDARG00000089983	0.0	0.0	0.163613	0.904895	1.633193	0.961352	0.0	0.0
ENSDARG00000089994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090002	0.0	0.0	0.0	0.0	0.775618	0.543438	0.507519	0.0
ENSDARG00000090013	0.0	131.764987	10.450344	10.945114	19.451633	12.953261	1.781727	1.109549
ENSDARG00000090015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090026	0.0	0.0	2.563871	0.499749	1.692625	2.372814	0.0	0.0
ENSDARG00000090033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090036	0.0	0.0	0.0	0.0	0.0	0.150517	0.0	0.136814
ENSDARG00000090038	0.0	0.0	0.0	0.0	0.0	0.0	0.181854	0.0
ENSDARG00000090039	0.0	0.0	1.546808	0.959167	0.998616	2.145041	2.411407	2.588386
ENSDARG00000090041	0.0	0.0	0.648042	0.385333	0.0	0.0	0.274617	0.662407
ENSDARG00000090052	0.0	0.0	0.503496	0.330264	0.0	0.269001	0.141614	0.0
ENSDARG00000090054	0.0	63.36635	24.989359	46.675423	44.715316	43.015369	6.824374	8.369617
ENSDARG00000090061	0.0	0.0	0.125668	0.144312	0.48545	0.330729	0.0	0.0
ENSDARG00000090062	0.0	0.0	0.0	0.0	0.0	0.205589	0.0	0.0
ENSDARG00000090063	0.0	0.0	1.836055	1.576855	0.264779	0.345365	0.214604	0.167094
ENSDARG00000090064	0.0	0.0	0.0	0.0	0.0	0.415321	0.0	0.0
ENSDARG00000090071	0.0	0.0	1.467229	1.583712	0.785645	0.338857	0.121692	0.058242
ENSDARG00000090072	2.876324	0.0	14.504506	19.041753	20.059999	22.990621	43.417227	46.467441
ENSDARG00000090081	0.0	0.0	0.181099	0.613532	1.013371	1.330508	0.459932	0.181259
ENSDARG00000090086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.441239
ENSDARG00000090097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090099	0.0	0.0	0.0	0.133409	0.0	0.101012	0.0	0.0
ENSDARG00000090106	0.0	0.0	0.0	0.0	0.168844	0.325435	0.0	0.0
ENSDARG00000090107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090108	0.0	0.0	0.304712	0.236764	0.174791	0.172282	0.0	0.0
ENSDARG00000090116	0.0	0.0	3.276082	2.670205	7.626324	6.877136	0.300762	0.0
ENSDARG00000090118	33.760666	0.0	0.357227	2.861163	2.664434	3.52023	2.992796	1.878246
ENSDARG00000090119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090120	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090140	0.0	0.0	0.0	0.0	0.856994	0.0	0.0	0.0
ENSDARG00000090142	0.0	0.0	6.99635	7.05332	6.637914	6.940415	0.495765	0.975383
ENSDARG00000090145	0.0	0.0	2.263253	3.960458	2.578892	2.402681	0.0	0.535062
ENSDARG00000090152	4.595838	1.460086	47.466343	44.312508	51.009437	52.266115	15.402008	22.509335
ENSDARG00000090153	0.0	0.0	7.549889	6.11399	1.46256	2.364741	1.692268	2.312215
ENSDARG00000090156	0.0	0.0	8.819289	8.14125	7.332177	7.443087	1.624824	3.723303
ENSDARG00000090159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090160	0.0	0.0	0.271311	0.227101	0.0	2.603968	0.0	0.0
ENSDARG00000090164	0.0	0.0	0.0	0.0	0.095603	0.092962	0.0	0.0
ENSDARG00000090167	0.0	0.0	2.409426	5.899576	0.0	1.215765	0.0	0.0
ENSDARG00000090170	0.0	0.0	0.115595	0.137158	0.247575	0.0	0.194876	0.0
ENSDARG00000090171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090177	0.0	0.0	0.0	0.0	0.0	0.387938	0.0	0.0
ENSDARG00000090179	0.0	0.0	0.0	0.0	0.0	0.590036	0.595293	0.749376
ENSDARG00000090181	0.0	0.0	5.266025	4.920776	3.652933	2.636613	0.0	0.0
ENSDARG00000090183	5.396469	0.0	50.819076	54.71996	46.928839	47.883829	39.229892	40.351525
ENSDARG00000090185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000090190	0.0	0.0	0.527807	0.0	0.0	0.431316	0.0	0.0
